"family_id","dataset","context","role","contrast","contrast_type","pathway","set_size","overlap_genes","coverage_fraction","eligible","camera_n_genes","camera_direction","camera_p_value","camera_fdr","score_effect","score_standardized_effect","score_t","score_p_value","score_fdr","score_direction"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Hypoxia",200,165,0.825,TRUE,165,"UP",0.000527473083063136,0.00429378429034184,0.00830031202741241,3.43795694820328,4.1789142103551,0.000859432380529031,0.00537145237830644,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Cholesterol Homeostasis",74,69,0.932432432432432,TRUE,69,"UP",0.00620289008145061,0.0309450963959576,0.00693633986650738,1.867504591159,2.79959225589919,0.0137972330960705,0.0530662811387325,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Mitotic Spindle",199,195,0.979899497487437,TRUE,195,"DOWN",0.0666639032927672,0.17543132445465,-0.00263714621173988,-1.39571364961963,-1.44655039545346,0.169241411888698,0.338482823777395,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Wnt-beta Catenin Signaling",42,35,0.833333333333333,TRUE,35,"UP",0.0213866648613319,0.071417022156206,0.00800219927993459,4.18446361002453,4.37370125866403,0.000584576172868647,0.0042015475368831,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","TGF-beta Signaling",54,52,0.962962962962963,TRUE,52,"UP",6.01370099439287e-05,0.000751712624299108,0.00927656953074779,7.04720880972742,5.52611997460411,6.51515918216993e-05,0.00108585986369499,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","IL-6/JAK/STAT3 Signaling",87,57,0.655172413793103,TRUE,57,"DOWN",0.173847170811838,0.362181605857997,-0.00561615346854302,-4.04638591657365,-3.31439716596,0.00489261061927565,0.0222391391785257,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","DNA Repair",150,146,0.973333333333333,TRUE,146,"DOWN",0.853813824422431,0.937436459531112,-0.000344402215696912,-0.0825159393412009,-0.126515692327732,0.901207160036665,0.972736505689691,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","G2-M Checkpoint",200,198,0.99,TRUE,198,"DOWN",0.000601129800647857,0.00429378429034184,-0.00803092128545912,-4.14037664538749,-4.37054934653487,0.000588216655163634,0.0042015475368831,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Apoptosis",161,143,0.888198757763975,TRUE,143,"UP",0.430144702855698,0.588198804731187,0.00174143141414845,0.763182755750522,0.896420386754006,0.384633959099051,0.600990561092267,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Notch Signaling",32,27,0.84375,TRUE,27,"UP",0.435267115501078,0.588198804731187,0.00248200929466144,0.838754754538964,1.13873011540994,0.273235589818338,0.490976802124573,"UP"
