dataset,accession,sample_id,model,treatment,dose_uM,duration_h,replicate,batch,analysis_role,exclusion_reason,matrix_column,source_metadata
GSE244107,GSM7806983,HepaPlate01_M04,iPSC-Hep,Vehicle,0.0,48.0,2,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M04,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806984,HepaPlate01_M05,iPSC-Hep,Vehicle,0.0,48.0,3,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M05,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806985,HepaPlate01_M06,iPSC-Hep,Vehicle,0.0,48.0,4,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M06,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806986,HepaPlate01_M07,iPSC-Hep,Vehicle,0.0,48.0,5,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M07,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806987,HepaPlate01_M08,iPSC-Hep,Vehicle,0.0,48.0,6,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M08,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806988,HepaPlate01_M09,iPSC-Hep,Vehicle,0.0,48.0,7,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M09,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806989,HepaPlate01_M16,iPSC-Hep,Vehicle,0.0,48.0,8,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M16,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806990,HepaPlate01_M17,iPSC-Hep,Vehicle,0.0,48.0,9,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M17,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806991,HepaPlate01_M18,iPSC-Hep,Vehicle,0.0,48.0,10,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M18,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806992,HepaPlate01_M19,iPSC-Hep,Vehicle,0.0,48.0,11,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M19,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806993,HepaPlate01_M20,iPSC-Hep,Vehicle,0.0,48.0,12,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M20,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806994,HepaPlate01_M21,iPSC-Hep,Vehicle,0.0,48.0,13,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806995,HepaPlate01_M22,iPSC-Hep,Vehicle,0.0,48.0,14,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M22,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807029,HepaPlate02_G02,iPSC-Hep,PFOA,10.0,48.0,3,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_G02,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807037,HepaPlate02_G10,iPSC-Hep,PFTeDA,10.0,48.0,3,HepaPlate02,VALIDATION,,HepaPlate02_G10,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807040,HepaPlate02_H02,iPSC-Hep,PFOA,1.0,48.0,3,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_H02,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807048,HepaPlate02_H10,iPSC-Hep,PFTeDA,1.0,48.0,3,HepaPlate02,VALIDATION,,HepaPlate02_H10,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807051,HepaPlate02_I02,iPSC-Hep,PFOA,0.1,48.0,3,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_I02,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807059,HepaPlate02_I10,iPSC-Hep,PFTeDA,0.1,48.0,3,HepaPlate02,VALIDATION,,HepaPlate02_I10,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807095,HepaPlate02_M03,iPSC-Hep,Vehicle,0.0,48.0,15,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M03,GEO sample hash + normalized count matrix; plate-centered to matched VEH
