family_id,dataset,context,role,contrast,contrast_type,pathway,set_size,overlap_genes,coverage_fraction,eligible,camera_n_genes,camera_direction,camera_p_value,camera_fdr,score_effect,score_standardized_effect,score_t,score_p_value,score_fdr,score_direction,strong,weak,evidence_direction,evidence_class
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,mTORC1 Signaling,200,193,0.965,True,193.0,UP,0.0129451779118298,0.0539382412992908,0.0054095805303688,1.74188946382716,2.42041294399022,0.0291150569990899,0.0415929385701285,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,E2F Targets,200,200,1.0,True,200.0,UP,0.034933775541403,0.0890720085253661,0.0062158739093725,2.51468543570649,3.09924507417253,0.0075569819170057,0.012530711681133,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Myc Targets V1,200,199,0.995,True,199.0,UP,0.348076352423027,0.470373449220306,0.0056604700841858,1.63585723673278,2.38434396624099,0.0312221915998906,0.043364154999848,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Myc Targets V2,58,55,0.948275862068966,True,55.0,UP,0.446217522969562,0.557771903711952,0.0021499384736829,0.652977831062656,0.931743193739231,0.366687409103504,0.436532629885124,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Epithelial Mesenchymal Transition,200,174,0.87,True,174.0,UP,5.46221856634354e-08,5.46221856634354e-07,0.0140135485471669,8.20207051265188,7.90275356065883,1.23263932455494e-06,6.16319662277468e-06,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Inflammatory Response,200,123,0.615,True,123.0,UP,1.58759175625675e-06,1.32299313021395e-05,0.0221995011608035,11.2640680091388,12.0217507250578,6.01473894153418e-09,7.51842367691772e-08,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Xenobiotic Metabolism,200,139,0.695,True,139.0,UP,0.0183555260617785,0.0573610189430577,0.0069417176970957,3.3456366744977,3.6969076893683,0.0022578383127057,0.0045156766254115,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Fatty Acid Metabolism,158,126,0.79746835443038,True,126.0,UP,0.568391958094847,0.631546620105386,0.0017631128858904,0.641472198857615,0.838629556839533,0.41525576753199,0.472890207278796,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Oxidative Phosphorylation,200,199,0.995,True,199.0,DOWN,0.0594625283871674,0.123880267473265,-0.004612758673642,-0.849117186045065,-1.23703047564766,0.245810548054005,0.307263185067506,DOWN,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Glycolysis,200,164,0.82,True,164.0,UP,0.000249222552731,0.0012461127636552,0.0141216510775439,6.57703636864091,7.43271445123589,2.5448453709194e-06,9.78786681122847e-06,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Reactive Oxygen Species Pathway,49,45,0.918367346938776,True,45.0,UP,0.192722872085836,0.292004351645206,0.0077910025289436,2.00285651710406,3.04377133719665,0.0085990111669243,0.0134359549483193,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,p53 Pathway,200,179,0.895,True,179.0,UP,0.010112187710284,0.0459644895922002,0.0092207097074611,3.66391094657814,4.56271400713543,0.0004035927062619,0.0010089817656548,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,UV Response Up,158,130,0.822784810126582,True,130.0,UP,0.126665192886202,0.218388263596901,0.0067669901866793,2.55495247417041,3.27419648439187,0.0053070813101158,0.0094769309109211,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,UV Response Dn,144,139,0.965277777777778,True,139.0,UP,0.770634349273591,0.819823775822969,-0.0015865679207492,-0.743824594592164,-0.836997087047419,0.416143382405341,0.472890207278796,DOWN,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Angiogenesis,36,26,0.722222222222222,True,26.0,UP,5.05216916662344e-11,8.42028194437241e-10,0.0315139006227565,17.9388125589051,17.6433472086417,3.2082848050606e-11,8.02071201265149e-10,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,heme Metabolism,200,156,0.78,True,156.0,DOWN,0.083533946202202,0.154692492967041,-0.0050218771283585,-5.97150457303538,-3.15364562892205,0.0067712195929141,0.0116745165395072,DOWN,False,True,DOWN,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Coagulation,138,84,0.608695652173913,True,84.0,DOWN,0.210464618480937,0.30950679188373,-0.0014318727677186,-0.447003307288351,-0.630057395473189,0.538436011456187,0.585256534191507,DOWN,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,IL-2/STAT5 Signaling,199,149,0.748743718592965,True,149.0,UP,0.0714787309381872,0.142957461876374,0.0064137101033148,3.97417303101087,3.66776849723469,0.0023945695823302,0.0046049415044811,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Bile Acid Metabolism,112,71,0.633928571428571,True,71.0,UP,0.513315834731995,0.5854955234728,0.0039785466862958,1.89421253605412,2.11007683509078,0.0526255692022954,0.0692441700030203,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Peroxisome,104,83,0.798076923076923,True,83.0,UP,0.461490607209703,0.562793423426467,0.0003223165535335,0.154251067030582,0.171245502122235,0.866391766599629,0.89311615277596,UP,False,False,,NO_EVIDENCE
