family_id,pathway,eligible_contexts,strong_contexts,weak_contexts,family_vote,family_weak_support,R1_within_family_consistency,model_restricted,supported_context_heterogeneity,context_states
FAMILY_2,Fatty Acid Metabolism,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,G2-M Checkpoint,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Glycolysis,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Hedgehog Signaling,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Hypoxia,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,IL-2/STAT5 Signaling,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,IL-6/JAK/STAT3 Signaling,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Inflammatory Response,2,1,0,UP,,False,True,False,iPSC-Hep:STRONG_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Interferon Alpha Response,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Interferon Gamma Response,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,KRAS Signaling Dn,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,KRAS Signaling Up,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Mitotic Spindle,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Myc Targets V1,2,1,0,UP,,False,True,False,iPSC-Hep:STRONG_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Myc Targets V2,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Myogenesis,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Notch Signaling,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Oxidative Phosphorylation,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,PI3K/AKT/mTOR  Signaling,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Pancreas Beta Cells,2,0,1,,DOWN,False,False,False,iPSC-Hep:WEAK_DOWN;iPSC-CM:NO_EVIDENCE
FAMILY_2,Peroxisome,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Protein Secretion,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Reactive Oxygen Species Pathway,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Spermatogenesis,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,TGF-beta Signaling,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,TNF-alpha Signaling via NF-kB,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,UV Response Dn,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,UV Response Up,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Unfolded Protein Response,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Wnt-beta Catenin Signaling,2,0,1,,DOWN,False,False,False,iPSC-Hep:WEAK_DOWN;iPSC-CM:NO_EVIDENCE
FAMILY_2,Xenobiotic Metabolism,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,heme Metabolism,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,mTORC1 Signaling,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,p53 Pathway,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_3,Adipogenesis,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Allograft Rejection,2,0,1,,DOWN,False,False,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Androgen Response,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Angiogenesis,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Apical Junction,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Apical Surface,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Apoptosis,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Bile Acid Metabolism,2,1,0,DOWN,,False,True,False,liver_spheroid_24h:STRONG_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Cholesterol Homeostasis,2,0,1,,DOWN,False,False,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Coagulation,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
